character_name,dialogue
Hermione Granger,"It's a cat, Ronald."
Hermione Granger,What do you expect?
Hermione Granger,It's in his nature.
Ron Weasley,A cat? Is that what they told you?
Ron Weasley,Looks like a pig with hair.
Hermione Granger,That's rich coming from the owner of that smelly old shoe brush.
Hermione Granger,"Crookshanks, just ignore the mean little boy."
Ron Weasley,Harry.
Hermione Granger,Harry.
Harry Potter,Egypt. What's it like?
Ron Weasley,"Brilliant. Loads of old stuff like mummies, tombs, even Scabbers enjoyed himself."
Hermione Granger,Egyptians used to worship cats.
Ron Weasley,Along with the dung beetle.
GEORGE,Not flashing that clipping again?
Ron Weasley,I haven't shown anyone.
GEORGE,"No, not a soul."
FRED,Not unless you count Tom.
GEORGE,The day maid.
FRED,Night maid.
GEORGE,Cook.
FRED,The bloke who fixed the toilet.
MRS. WEASLEY,Harry.
Harry Potter,Mrs. Weasley.
MRS. WEASLEY,"Good to see you, dear."
Harry Potter,Good to see you too.
MRS. WEASLEY,Got everything?
Harry Potter,Yes.
MRS. WEASLEY,Yes? All your books?
Harry Potter,It's all upstairs.
MRS. WEASLEY,All of your clothes?
Harry Potter,Everything.
MRS. WEASLEY,Good boy.
Harry Potter,Thank you.
MR. WEASLEY,Harry Potter.
Harry Potter,Mr. Weasley.
MR. WEASLEY,"Harry, wonder if I might have a word?"
Harry Potter,"Yeah, sure."
MR. WEASLEY,Hermione.
Hermione Granger,"Good morning, Mr. Weasley."
MR. WEASLEY,Looking forward to a new term?
Harry Potter,Yeah. It should be great.
MR. WEASLEY,"Harry, some within the Ministry would strongly discourage me from divulging what I'm about to reveal to you."
MR. WEASLEY,But I think that you need to know the facts.
MR. WEASLEY,You are in danger.
MR. WEASLEY,Grave danger.
Harry Potter,"Has this anything to do with Sirius Black, sir?"
MR. WEASLEY,"What do you know about Sirius Black, Harry?"
Harry Potter,Only that he's escaped from Azkaban.
MR. WEASLEY,Do you know why?
MR. WEASLEY,"Thirteen years ago, when you stopped..."
Harry Potter,Voldemort.
MR. WEASLEY,Don't say his name.
Harry Potter,Sorry.
MR. WEASLEY,When you stopped You-Know-Who Black lost everything.
MR. WEASLEY,"But to this day, he still remains a faithful servant."
MR. WEASLEY,And in his mind you are the only thing that stands in the way of You-Know-Who returning to power.
MR. WEASLEY,And that is why he has escaped from Azkaban.
MR. WEASLEY,To find you.
Harry Potter,And kill me.
MR. WEASLEY,"Harry, swear to me that whatever you might hear you won't go looking for Black."
Harry Potter,Mr. Weasley why would I go looking for someone who wants to kill me?
MRS. WEASLEY,Quick. Quick.
MRS. WEASLEY,"Ron, Ron!"
MRS. WEASLEY,"Oh, for goodness' sake!"
MRS. WEASLEY,Don't lose him!
Harry Potter,I didn't mean to blow her up. I just...I lost control.
Ron Weasley,Brilliant.
Hermione Granger,"Honestly, Ron, it's not funny."
Hermione Granger,Harry was lucky not to be expelled.
Harry Potter,I was lucky not to be arrested actually.
Ron Weasley,I still think it was brilliant.
Hermione Granger,Come on. Everywhere else is full
Ron Weasley,Who do you think that is?
Hermione Granger,Professor R.J. Lupin.
Ron Weasley,Do you know everything?
Ron Weasley,How is it she knows everything?
Hermione Granger,"It's on his suitcase, Ronald."
Ron Weasley,Oh.
Harry Potter,Do you think he's really asleep?
Hermione Granger,Seems to be. Why?
Harry Potter,I gotta tell you something.
Ron Weasley,Let me get this straight.
Ron Weasley,Sirius Black escaped from Azkaban to come after you?
Harry Potter,Yeah.
Hermione Granger,"But they'll catch Black, won't they?"
Hermione Granger,"I mean, everyone's looking for him."
Ron Weasley,Sure.
Ron Weasley,"Except no one's ever broken out of Azkaban before and he's a murderous, raving lunatic."
Harry Potter,"Thanks, Ron."
Hermione Granger,Why are we stopping?
Hermione Granger,We can't be there yet.
Ron Weasley,What's going on?
Harry Potter,I don't know.
Harry Potter,Maybe we've broken down.
Hermione Granger,"Ouch, Ron. That was my foot."
Ron Weasley,There's something moving out there.
Ron Weasley,I think someone's coming aboard.
Ron Weasley,Bloody hell! What's happening?
Hermione Granger,Harry.
Hermione Granger,"Harry, are you all right?"
Harry Potter,Thank you.
LUPIN,"Here, eat this. It'll help."
LUPIN,It's all right. It's chocolate.
Harry Potter,What was that thing that came?
LUPIN,It was a dementor. 
LUPIN,One of the guards of Azkaban. It's gone now.
LUPIN,It was searching the train for Sirius Black.
LUPIN,"If you'll excuse me, I need to have a little word with the driver."
LUPIN,Eat. You'll feel better.
Harry Potter,What happened to me?
Ron Weasley,"Well, you sort of went rigid."
Ron Weasley,We thought maybe you were having a fit or something.
Harry Potter,And did either of you two you know pass out?
Ron Weasley,No.
Ron Weasley,"I felt weird, though."
Ron Weasley,Like I'd never be cheerful again.
Harry Potter,But someone was screaming.
Harry Potter,A woman.
Hermione Granger,"No one was screaming, Harry."
Albus Dumbledore,Welcome! Welcome to another year at Hogwarts.
Albus Dumbledore,"Now, I'd like to say a few words before we all become too befuddled by our excellent feast."
Albus Dumbledore,"First, I'm pleased to welcome Professor R.J. Lupin who's kindly consented to fill the post of Defense Against the Dark Arts teacher."
Albus Dumbledore,"Good luck, professor."
Hermione Granger,"Of course. That's why he knew to give you the chocolate, Harry."
Draco Malfoy,Potter. Is it true you fainted?
Draco Malfoy,"I mean, you actually fainted?"
Ron Weasley,"Shove off, Malfoy."
Harry Potter,How did he find out?
Hermione Granger,Just forget it.
Albus Dumbledore,Our Care of Magical Creatures teacher has decided to retire in order to spend more time with his remaining limbs.
Albus Dumbledore,"Fortunately, I'm delighted to announce that his place will be taken by none other than our own Rubeus Hagrid."
Albus Dumbledore,"Finally, on a more disquieting note at the request of the Ministry of Magic "
Albus Dumbledore,"Hogwarts will, until further notice, play host to the dementors of Azkaban until such a time as Sirius Black is captured."
Albus Dumbledore,The dementors will be stationed at every entrance to the grounds.
Albus Dumbledore,Now whilst I've been assured that their presence will not disrupt our day-to-day activities a word of caution.
Albus Dumbledore,Dementors are vicious creatures.
Albus Dumbledore,They'll not distinguish between the one they hunt and the one who gets in their way.
Albus Dumbledore,"Therefore, I must warn each and every one of you to give them no reason to harm you."
Albus Dumbledore,It is not in the nature of a dementor to be forgiving.
Albus Dumbledore,"But you know, happiness can be found even in the darkest of times if one only remembers to turn on the light."
SEAMUS,Fortuna Major.
SEAMUS,"Here, listen."
SEAMUS,She just won't let me in.
Harry Potter,Fortuna Major.
FAT LADY,"No, no. Wait, wait."
FAT LADY,Watch this.
FAT LADY,Amazing. Just with my voice.
Harry Potter,Fortuna Major.
FAT LADY,"Yes, all right. Go in."
Harry Potter,Thank you.
Harry Potter,Still doing that after three years.
Harry Potter,She can't even sing.
SEAMUS,Exactly.
Harry Potter,"Hey, man."
SEAMUS,"Hey, man."
DEAN,"Oh, God."
Hermione Granger,That's awful.
Ron Weasley,Green. That's a monkey.
Ron Weasley,What is that?
DEAN,You call that a monkey?
Ron Weasley,Do not give him one again.
Ron Weasley,"Hey, Neville, try an elephant."
SEAMUS,"Ron, catch."
Ron Weasley,I will.
SEAMUS,I think we have a winner.
Ron Weasley,"Oh, don't try one of them."
SEAMUS,"Oh, no."
Ron Weasley,Look at him. His face.
TRELAWNEY,"Welcome, my children."
TRELAWNEY,"In this room, you shall explore the noble art of Divination."
TRELAWNEY,"In this room, you shall discover if you possess the Sight."
TRELAWNEY,Hello. I am Professor Trelawney.
TRELAWNEY,Together we shall cast ourselves into the future.
TRELAWNEY,"This term, we'll focus on Tasseomancy, the art of reading tea leaves."
TRELAWNEY,"So please, take the cup of the person sitting opposite you."
TRELAWNEY,What do you see?
TRELAWNEY,"The truth lies buried like a sentence deep within a book, waiting to be read."
TRELAWNEY,"But first, you must broaden your minds."
TRELAWNEY,"First, you must look beyond."
Hermione Granger,What a load of rubbish.
Ron Weasley,Where did you come from?
Hermione Granger,Me?
Hermione Granger,I've been here all this time.
TRELAWNEY,"You, boy..."
TRELAWNEY,Is your grandmother quite well?
NEVILLE,I think so.
TRELAWNEY,I wouldn't be so sure of that.
TRELAWNEY,Give me the cup.
TRELAWNEY,Pity.
TRELAWNEY,Broaden your minds.
TRELAWNEY,"Your aura is pulsing, dear."
TRELAWNEY,Are you in the beyond?
TRELAWNEY,I think you are.
Ron Weasley,Sure.
TRELAWNEY,Look at the cup.
TRELAWNEY,Tell me what you see.
Ron Weasley,Yeah.
Ron Weasley,Harry's got sort of a wonky cross.
Ron Weasley,That's trials and suffering.
Ron Weasley,And that there could be the sun and that's happiness.
Ron Weasley,"So you're gonna suffer, but you're gonna be happy about it."
TRELAWNEY,Give me the cup.
TRELAWNEY,"Oh, my dear boy."
TRELAWNEY,My dear you have the Grim.
SEAMUS,The Grin? What's the Grin?
BEM,"Not the Grin, you idiot. The Grim."
BEM,Taking form of a giant spectral dog.
BEM,It's among the darkest omens in our world.
BEM,"It's an omen of death."""
Ron Weasley,You don't think that Grim thing's got anything to do with Sirius Black?
Hermione Granger,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline."
Hermione Granger,"Now, Ancient Runes, that's a fascinating subject."
Ron Weasley,Ancient Runes? Exactly how many classes are you taking?
Hermione Granger,A fair few.
Ron Weasley,Hang on. That's not possible.
Ron Weasley,Ancient Runes is in the same time as Divination.
Ron Weasley,You have to be in two classes at once.
Hermione Granger,Don't be silly. How could anyone be in two classes at once?
Hermione Granger,Broaden your minds. Use your Inner Eye to see the future.
Rubeus Hagrid,"That's it. Come on, now. Come closer."
Rubeus Hagrid,"Less talking, if you don't mind."
Rubeus Hagrid,I got a real treat for you today.
Rubeus Hagrid,A great lesson. So follow me.
Rubeus Hagrid,"Right, you lot. Less chattering."
Rubeus Hagrid,Form a group over there.
Rubeus Hagrid,And open your books to page 49.
Draco Malfoy,Exactly how do we do that?
Rubeus Hagrid,"Just stroke the spine, of course."
Rubeus Hagrid,Goodness me.
Draco Malfoy,"Don't be such a wimp, Longbottom."
NEVILLE,I'm okay. Okay.
Hermione Granger,I think they're funny.
Draco Malfoy,"Oh, yeah. Terribly funny."
Draco Malfoy,"Witty. God, this place has gone to the dogs."
Draco Malfoy,Wait until Father hears Dumbledore's got this oaf teaching classes.
Harry Potter,"Shut up, Malfoy."
Draco Malfoy,Dementor! Dementor!
Hermione Granger,Just ignore him.
Ron Weasley,You're supposed to stroke it.
NEVILLE,Yeah.
Hermione Granger,Tah- tah- tah- dah! Isn't he beautiful?
Hermione Granger,Say hello to Buckbeak.
Ron Weasley,"Hagrid, exactly what is that?"
Rubeus Hagrid,"That, Ron, is a hippogriff."
Rubeus Hagrid,First thing you wanna know is they're very proud creatures.
Rubeus Hagrid,Very easily offended.
Rubeus Hagrid,You do not want to insult a hippogriff.
Rubeus Hagrid,It may be the last thing you ever do.
Rubeus Hagrid,"Now, who'd like to come and say hello?"
Rubeus Hagrid,"Well done, Harry. Well done."
Rubeus Hagrid,Come on now.
Rubeus Hagrid,Now you have to let him make the first move. 
Rubeus Hagrid,It's only polite. So step up. Give him a nice bow.
Rubeus Hagrid,Then you wait and see if he bows back.
Rubeus Hagrid,"If he does, you can go and touch him."
Rubeus Hagrid,"If not... Well, we'll get to that later."
Rubeus Hagrid,Just make your bow.
Rubeus Hagrid,Nice and low.
Rubeus Hagrid,"Back off, Harry. Back off."
Rubeus Hagrid,Keep still. Keep still.
Rubeus Hagrid,"Well done, Harry. Well done."
Rubeus Hagrid,"Here, you big brute, you."
Rubeus Hagrid,Right. I think you can go and pat him now.
Rubeus Hagrid,Go on. Don't be shy.
Rubeus Hagrid,"Nice and slow, now."
Rubeus Hagrid,Nice and slow. Slow.
Rubeus Hagrid,"Not so fast, Harry."
Rubeus Hagrid,"Slow down, Harry. That's it..."
Rubeus Hagrid,Nice and slow.
Rubeus Hagrid,Now let him come to you.
Rubeus Hagrid,"Slowly, now, slowly, slowly..."
Rubeus Hagrid,That's it…Yes!
Rubeus Hagrid,"Well done! Well done, Harry,"
Rubeus Hagrid,well done!
BEM,Does he get to fly?
Rubeus Hagrid,I think he may let you ride him now.
Harry Potter,What?
Rubeus Hagrid,Come on.
Harry Potter,"Hey, hey, hey!"
Rubeus Hagrid,"Put you over here, just behind the wing joint. "
Rubeus Hagrid,"Don't pull out any of his feathers, because he won't thank you for that."
Rubeus Hagrid,"Well done, Harry, and well done, Buckbeak."
Hermione Granger,"That was wicked, Harry!"
Draco Malfoy,"Oh, please."
Rubeus Hagrid,"Well done, well done."
Rubeus Hagrid,How am I doing me first day?
Harry Potter,"Brilliant, professor."
Draco Malfoy,"You're not dangerous at all, are you, you great ugly brute!"
Rubeus Hagrid,"Malfoy, no..."
Rubeus Hagrid,No!
Rubeus Hagrid,Buckbeak!
Rubeus Hagrid,"Whoa, whoa, whoa..."
Rubeus Hagrid,Whoa! Buckbeak!
Rubeus Hagrid,"Away, you silly creature..."
Draco Malfoy,It's killed me!
Rubeus Hagrid,Calm down. It's just a scratch!
Hermione Granger,Hagrid! He has to be taken to the hospital.
Rubeus Hagrid,I'm the teacher. I'll do it.
Draco Malfoy,You're gonna regret this.
Rubeus Hagrid,Class dismissed!
Draco Malfoy,You and your bloody chicken!
PANSY PARKINSON,"Does it hurt terribly, Draco?"
Draco Malfoy,It comes and it goes.
Draco Malfoy,"Still, I consider myself lucky."
Draco Malfoy,Madam Pomfrey said another minute and I could've lost my arm.
Draco Malfoy,I can't do homework for weeks.
Ron Weasley,Listen to the idiot.
Ron Weasley,"He's really laying it on thick, isn't he?"
Harry Potter,At least Hagrid didn't get fired.
Hermione Granger,I hear Draco's father's furious.
Hermione Granger,We haven't heard the end of this.
SEAMUS,He's been sighted!
Ron Weasley,Who?
SEAMUS,Sirius Black!
Hermione Granger,Dufftown? That's not far from here.
NEVILLE,"You don't think he'd come to Hogwarts, do you?"
BOY,With dementors at every entrance?
SEAMUS,Dementors?
SEAMUS,He slipped past them once.
SEAMUS,Who's to say he won't do it again?
BEM,That's right. Black could be anywhere.
BEM,It's like trying to catch smoke.
BEM,Like trying to catch smoke with your bare hands.
LUPIN,"Intriguing, isn't it?"
LUPIN,Would anyone like to venture a guess as to what is inside?
DEAN,"That's a boggart, that is."
LUPIN,"Very good, Mr. Thomas."
LUPIN,"Now, can anybody tell me what a boggart looks like?"
Hermione Granger,No one knows.
Ron Weasley,When did she get here?
Hermione Granger,Boggarts are shape-shifters.
Hermione Granger,They take the shape of whatever a person fears the most.
Hermione Granger,That's what makes them so...
LUPIN,"So terrifying, yes, yes, yes..."
LUPIN,"Luckily, a very simple charm exists to repel a boggart."
LUPIN,Let's practice it now.
LUPIN,"Without wands, please."
LUPIN,After me. Riddikulus!
CLASS,Riddikulus!
LUPIN,Very good.
LUPIN,A little louder and very clear.
LUPIN,Listen: Riddikulus!
CLASS,Riddikulus!
Draco Malfoy,This class is ridiculous.
LUPIN,Very good.
LUPIN,So much for the easy part. 
LUPIN,"You see, the incantation alone is not enough."
LUPIN,What really finishes a boggart is laughter.
LUPIN,You need to force it to assume a shape you find truly amusing. 
LUPIN,"Let me explain. Neville, would you join me, please?"
LUPIN,"Come on, don't be shy. Come on."
LUPIN,Come on.
LUPIN,"Hello. Neville, what frightens you most of all?"
NEVILLE,Professor Snape.
LUPIN,Sorry?
NEVILLE,Professor Snape.
LUPIN,"Professor Snape. Yes, frightens all."
LUPIN,You live with your grandmother.
NEVILLE,"Yes. I don't want it to turn into her, either."
LUPIN,No it won't. I want you to picture her clothes.
LUPIN,"Only her clothes, very clearly, in your mind."
NEVILLE,She carries a red handbag...
LUPIN,We don't need to hear.
LUPIN,"As long as you see it, we'll see it."
LUPIN,"Now, when I open that wardrobe here's what I want you to do. Excuse me."
LUPIN,Imagine Professor Snape in your grandmother's clothes.
LUPIN,Can you do that?
LUPIN,Yes. Wand at the ready.
LUPIN,"One, two, three."
LUPIN,"Think, Neville, think."
NEVILLE,Riddikulus!
LUPIN,"Wonderful, Neville, wonderful!"
LUPIN,"Incredible! Okay to the back, Neville."
LUPIN,"Everyone, form a line..."
LUPIN,Form a line!
LUPIN,I want everyone to picture the thing they fear the very most and turn it into something funny.
LUPIN,Next! Ron!
LUPIN,Concentrate. Face your fear.
LUPIN,Be brave!
LUPIN,"Wand at the ready, Ron."
Ron Weasley,Riddikulus!
LUPIN,Yes!
LUPIN,"You see? Very good, very good!"
LUPIN,"Marvelous! Absolutely, very, very enjoyable! Parvati! Next!"
LUPIN,Show us what you see.
LUPIN,Keep your nerve. Steady.
PARVATI,Riddikulus!
LUPIN,"And next! Step up, step up!"
LUPIN,"Wonderful, wonderful! Here!"
LUPIN,Riddikulus!
LUPIN,Right. Sorry about that.
LUPIN,That's enough for today.
LUPIN,Collect your books from the back.
LUPIN,That's the end of the lesson.
LUPIN,Thank you! Sorry!
LUPIN,"Sorry, you can have too much of a good thing."
Minerva McGonagall,"Remember, these visits to Hogsmeade village are a privilege."
Minerva McGonagall,Should your behavior reflect poorly on the school that privilege shall not be extended again.
Minerva McGonagall,"No permission form signed, no visiting the village."
Minerva McGonagall,"That's the rule, Potter."
FILCH,"Those with permission, follow me."
FILCH,"Those without, stay put."
Harry Potter,"I thought if you signed it, then I could..."
Minerva McGonagall,I can't. Only a parent or a guardian can sign.
Minerva McGonagall,"Since I am neither, it would be inappropriate."
Minerva McGonagall,"I'm sorry, Potter."
Minerva McGonagall,That's my final word.
Harry Potter,"Forget about it, guys. See you later."
Harry Potter,"Professor, can I ask you something?"
LUPIN,"You want to know why I stopped you facing that boggart, yes?"
LUPIN,I thought it'd be obvious.
LUPIN,I assumed it would take the shape of Lord Voldemort.
Harry Potter,I did think of Voldemort at first.
Harry Potter,But then I remembered that night on the train and the dementor.
LUPIN,I'm very impressed.
LUPIN,That suggests what you fear the most is fear itself.
LUPIN,This is very wise.
Harry Potter,Before I fainted I heard something.
Harry Potter,A woman screaming.
LUPIN,Dementors force us to relive our very worst memories.
LUPIN,Our pain becomes their power.
Harry Potter,I think it was my mother the night she was murdered.
LUPIN,"The very first time I saw you, Harry, I recognized you immediately."
LUPIN,"Not by your scar, by your eyes."
LUPIN,"They're your mother, Lily's."
LUPIN,"Yes. Oh, yes. I knew her."
LUPIN,Your mother was there for me at a time when no one else was.
LUPIN,Not only was she a singularly gifted witch she was also an uncommonly kind woman.
LUPIN,"She had a way of seeing the beauty in others even, and most especially, when that person could not see it in themselves."
LUPIN,"And your father, James, on the other hand he..."
LUPIN,"He had a certain, shall we say, talent for trouble."
LUPIN,"A talent, rumor has it, he passed on to you."
LUPIN,"You're more like them than you know, Harry."
LUPIN,"In time, you'll come to see just how much."
Ron Weasley,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop."
Ron Weasley,We never got to go to the Shrieking Shack.
Ron Weasley,You heard it's the most...
Harry Potter,Haunted building in Britain. I know.
Harry Potter,What's going on?
Ron Weasley,Probably Neville forgot the password again.
NEVILLE,Hey.
Ron Weasley,"Oh, you're there."
PERCY,"Let me through, please."
PERCY,Excuse me! I'm Head Boy!
PERCY,"Get back, all of you."
PERCY,No one is to enter this dormitory until it's been searched.
GINNY,The Fat Lady! She's gone!
Ron Weasley,Serves her right.
Ron Weasley,She was a terrible singer.
Hermione Granger,"It's not funny, Ron."
PERCY,"Keep calm, everyone. Break into fours."
PERCY,Back to your common room.
PERCY,Be quiet. Make way.
PERCY,The headmaster's here.
FILCH,"Come on, move."
PERCY,You heard. Move!
Albus Dumbledore,Mr. Filch? Round up the ghosts.
Albus Dumbledore,Tell them to search every painting in the castle to find the Fat Lady.
FILCH,"There's no need for ghosts, professor."
FILCH,The Fat Lady's there.
PERCY,Mind where you're going! Slow down!
PERCY,You listen! I'm Head Boy!
PERCY,Come back here!
Albus Dumbledore,Keep moving!
Albus Dumbledore,"Dear lady, who did this to you?"
FAT LADY,"Eyes like the devil, he's got, and a soul as dark as his name."
FAT LADY,"It's him, headmaster."
FAT LADY,The one they all talk about.
FAT LADY,"He's here, somewhere in the castle!"
FAT LADY,Sirius Black!
Albus Dumbledore,"Secure the castle, Mr. Filch."
Albus Dumbledore,"The rest of you, to the Great Hall."
FILCH,I've searched the Astronomy Tower and the Owlery. 
FILCH,There's nothing there.
